time,range_D_MP1,range_MP1_MP2,range_MP2_MP3,auto_max,auto_snr,auto_amp,auto_count,n_calls
2012-03-01 17:01:02.129304+00:00,7.25,15.79,24.05,1875.3953476338472,15.843990712963135,-129.59369013299892,12,1
2012-03-01 17:02:02.129304+00:00,7.78,16.87,25.69,1951.1445381164335,15.58252292500806,-130.11662570890908,15,1
2012-03-01 17:03:02.129304+00:00,7.72,16.75,25.5,2042.5166741955527,15.649283256572875,-129.98310504577944,16,2
2012-03-01 17:04:02.129304+00:00,6.65,14.54,22.17,2081.034321549071,15.762916040695018,-129.75583947753515,18,3
2012-03-01 17:05:02.129304+00:00,33.74,40.0,40.0,2081.034321549071,15.843990712963135,-129.59369013299892,20,2
2012-03-01 17:06:02.129304+00:00,19.05,39.48,40.0,2133.888810274672,15.91691931569983,-129.44783292752555,23,1
2012-03-01 17:10:02.129304+00:00,19.88,40.0,40.0,2762.632611253996,16.407699273515007,-128.46627301189517,32,1
2012-03-01 17:11:02.129304+00:00,19.85,40.0,40.0,2842.3853104757277,16.50013578697051,-128.28139998498418,33,3
2012-03-01 17:12:02.129304+00:00,19.88,40.0,40.0,2842.3853104757277,16.7900879521866,-127.701495654552,33,2
2012-03-01 17:13:02.129304+00:00,19.94,40.0,40.0,2918.6320836230066,16.946932446571765,-127.38780666578168,33,1
2012-03-01 17:14:02.129304+00:00,19.77,40.0,40.0,3050.774092371249,16.996243108139485,-127.28918534264622,33,2
2012-03-01 17:15:02.129304+00:00,20.22,40.0,40.0,3319.7950465442946,17.10577904663728,-127.07011346565062,34,2
2012-03-01 17:16:02.129304+00:00,20.78,40.0,40.0,3513.6568279114745,17.10577904663728,-127.07011346565062,34,3
2012-03-01 17:17:02.129304+00:00,20.81,40.0,40.0,3360.0422896271957,17.073928013414672,-127.13381553209584,36,2
2012-03-01 17:18:02.129304+00:00,20.84,40.0,40.0,3229.354088873286,17.047221515740027,-127.18722852744514,37,3
2012-03-01 17:19:02.129304+00:00,20.81,40.0,40.0,3189.106845790385,17.021732311939758,-127.23820693504568,38,2
2012-03-01 17:20:02.129304+00:00,20.81,40.0,40.0,3148.859602707484,16.996243108139485,-127.28918534264622,39,2
2012-03-01 17:21:02.129304+00:00,20.81,40.0,40.0,3148.859602707484,17.047221515740027,-127.18722852744514,37,2
2012-03-01 17:22:02.129304+00:00,20.9,40.0,40.0,3229.354088873286,17.10063451108932,-127.08040253674656,35,1
2012-03-01 17:23:02.129304+00:00,20.87,40.0,40.0,3148.859602707484,17.110923582185237,-127.05982439455472,37,1
2012-03-01 17:24:02.129304+00:00,20.93,40.0,40.0,3148.859602707484,17.110923582185237,-127.05982439455472,37,3
2012-03-01 17:25:02.129304+00:00,20.84,40.0,40.0,3148.859602707484,17.10063451108932,-127.08040253674656,37,3
2012-03-01 17:26:02.129304+00:00,21.2,40.0,40.0,3050.774092371249,17.047221515740027,-127.18722852744514,35,2
2012-03-01 17:27:02.129304+00:00,21.08,40.0,40.0,3050.774092371249,16.972512679728634,-127.33664619946792,33,1
2012-03-01 17:28:02.129304+00:00,20.57,40.0,40.0,2968.003238439917,16.972512679728634,-127.33664619946792,31,1
2012-03-01 17:29:02.129304+00:00,29.73,40.0,40.0,2866.8883454429592,16.947182457430618,-127.38730664406395,29,2
2012-03-01 17:31:02.129304+00:00,29.88,40.0,40.0,2687.1685063425934,16.93149183682346,-127.41868788527826,25,1
2012-03-01 17:32:02.129304+00:00,29.88,40.0,40.0,2718.4576783246835,16.79844992483952,-127.68477170924616,24,2
2012-03-01 17:33:02.129304+00:00,30.04,40.0,40.0,2513.615401585254,16.508183409291902,-128.26530474034138,22,2
2012-03-01 17:34:02.129304+00:00,29.62,40.0,40.0,2257.653338504059,16.350937068716078,-128.57979742149303,20,2
2012-03-01 17:35:02.129304+00:00,32.92,40.0,40.0,1968.191884269391,16.349068961845575,-128.58353363523403,17,2
2012-03-01 17:38:02.129304+00:00,14.37,30.17,40.0,1958.339399423826,16.350937068716078,-128.57979742149303,12,1
2012-03-02 09:05:02.129222+00:00,0.01,0.03,0.08,1778.328313140035,17.4274678333811,-130.74617873989737,7,1
2012-03-02 09:08:02.129222+00:00,0.02,0.03,0.15,1778.328313140035,17.4274678333811,-130.74617873989737,7,1
2012-03-02 09:09:02.129222+00:00,0.02,0.06,0.12,1778.328313140035,17.4274678333811,-130.74617873989737,7,1
2012-03-02 09:10:02.129222+00:00,0.39,0.88,1.36,1778.328313140035,17.4274678333811,-130.74617873989737,7,2
2012-03-02 09:12:02.129222+00:00,0.01,0.02,0.05,1778.328313140035,17.4274678333811,-130.74617873989737,7,1
2012-03-02 09:13:02.129222+00:00,0.02,0.03,0.15,1778.328313140035,17.4274678333811,-130.74617873989737,7,1
2012-03-04 05:03:02.128891+00:00,4.7,10.42,15.91,6745.636581054554,19.46791141509902,-131.64672874275087,4,2
2012-03-04 05:04:02.128891+00:00,4.7,10.42,15.91,6745.636581054554,19.46791141509902,-131.64672874275087,4,2
2012-03-06 04:14:02.128560+00:00,25.02,40.0,40.0,1761.4015624566457,15.61598133542385,-132.49850674013055,3,1
2012-03-06 04:23:02.128560+00:00,26.6,40.0,40.0,1665.1112645729274,15.017088036060526,-133.6962933388572,6,1
2012-03-06 04:24:02.128560+00:00,26.65,40.0,40.0,1665.1112645729274,15.017088036060526,-133.6962933388572,6,1
2012-03-06 04:28:02.128560+00:00,25.37,40.0,40.0,2048.2694190563525,14.525863500736245,-134.6787424095058,6,2
2012-03-06 04:29:02.128560+00:00,25.41,40.0,40.0,2048.2694190563525,14.525863500736245,-134.6787424095058,6,1
2012-03-06 04:38:02.128560+00:00,12.16,25.74,39.05,2527.717871423496,14.633532264775289,-134.4634048814277,3,1
2012-03-07 17:47:02.128312+00:00,30.41,40.0,40.0,1752.507959987831,16.932603486275653,-134.83207506382124,3,1
2012-03-07 17:51:02.128312+00:00,40.0,40.0,40.0,1752.507959987831,16.932603486275653,-134.83207506382124,3,1
2012-03-07 17:53:02.128312+00:00,40.0,40.0,40.0,1752.507959987831,16.932603486275653,-134.83207506382124,3,1
2012-03-08 04:26:02.128230+00:00,6.8,14.85,22.64,2362.5215979891923,13.697811893140155,-142.57296715959615,3,1
2012-03-08 07:46:02.128230+00:00,11.87,25.17,38.19,1613.5744517272371,15.84137847866404,-138.28583398854838,3,2
2012-03-08 07:51:02.128230+00:00,11.87,25.17,38.19,1613.5744517272371,15.84137847866404,-138.28583398854838,3,1
2012-03-09 12:48:02.127981+00:00,29.07,40.0,40.0,3725.350666262226,18.793505206134213,-125.42624078046538,3,2
2012-03-09 12:49:02.127981+00:00,29.07,40.0,40.0,3725.350666262226,18.793505206134213,-125.42624078046538,3,1
2012-03-10 12:03:02.127816+00:00,30.04,40.0,40.0,2607.9490195563703,18.303326838927862,-134.1333828866813,3,1
2012-03-10 12:10:02.127816+00:00,30.04,40.0,40.0,2449.5726661438443,13.941223447659516,-142.857589669218,5,1
2012-03-10 12:11:02.127816+00:00,30.04,40.0,40.0,2449.5726661438443,13.941223447659516,-142.857589669218,5,1
2012-03-10 12:14:02.127816+00:00,30.04,40.0,40.0,2521.9100815291745,16.12227514329369,-138.49548627794962,4,1
2012-03-10 12:19:02.127816+00:00,30.04,40.0,40.0,2435.8711435019786,13.941223447659516,-142.857589669218,5,1
2012-03-10 15:03:02.127816+00:00,4.94,10.93,16.69,2224.5130496775587,13.859682608056335,-143.02067134842434,3,1
2012-03-11 07:05:02.127734+00:00,5.43,11.96,18.26,2229.457766654042,17.599441764393116,-132.89544699280316,6,1
2012-03-11 07:07:02.127734+00:00,5.43,11.96,18.26,2042.793289959772,17.728649961870303,-132.6370305978488,5,1
2012-03-11 07:08:02.127734+00:00,5.63,12.39,18.9,2042.793289959772,17.728649961870303,-132.6370305978488,5,1
2012-03-11 07:10:02.127734+00:00,5.73,12.61,19.25,2229.457766654042,17.51071079872936,-133.07290892413067,6,1
2012-03-11 07:12:02.127734+00:00,5.73,12.61,19.25,2229.457766654042,17.51071079872936,-133.07290892413067,6,1
2012-03-11 07:19:02.127734+00:00,5.58,12.29,18.76,2416.122243348312,17.292771635588416,-133.50878725041258,3,1
2012-03-11 07:38:02.127734+00:00,10.17,21.75,33.04,2872.8480900945465,17.523781926824604,-133.0467666679402,4,1
2012-03-11 07:42:02.127734+00:00,10.17,21.75,33.04,2872.8480900945465,17.523781926824604,-133.0467666679402,4,1
2012-03-11 07:44:02.127734+00:00,10.17,21.75,33.04,2872.8480900945465,17.523781926824604,-133.0467666679402,4,1
2012-03-11 07:47:02.127734+00:00,10.17,21.75,33.04,2872.8480900945465,17.523781926824604,-133.0467666679402,4,1
2012-03-11 08:10:02.127734+00:00,26.06,40.0,40.0,2955.951279677597,17.85974021593811,-132.37485008971316,3,1
2012-03-11 08:13:02.127734+00:00,26.02,40.0,40.0,2955.951279677597,17.85974021593811,-132.37485008971316,3,1
2012-03-11 08:17:02.127734+00:00,26.06,40.0,40.0,2955.951279677597,17.85974021593811,-132.37485008971316,3,1
2012-03-11 15:11:02.127650+00:00,15.67,32.76,40.0,2896.844474249464,17.35125286989014,-133.50031510242758,4,1
2012-03-11 15:13:02.127650+00:00,15.67,32.76,40.0,2878.6628448814586,17.650513097683657,-132.90179464684053,5,1
2012-03-11 15:14:02.127650+00:00,15.67,32.76,40.0,2878.6628448814586,17.650513097683657,-132.90179464684053,5,1
2012-03-11 15:15:02.127650+00:00,15.74,32.89,40.0,2896.844474249464,17.717223925906886,-132.76837299039408,6,1
2012-03-11 15:22:02.127650+00:00,14.97,31.36,40.0,2282.540464239227,18.27802101943189,-131.6467788033441,10,1
2012-03-11 15:25:02.127650+00:00,0.0,0.01,0.02,2233.5354940824573,18.414589108339943,-131.37364262552796,8,2
2012-03-11 15:26:02.127650+00:00,0.0,0.02,0.02,2158.598891235646,18.27802101943189,-131.6467788033441,10,1
2012-03-11 15:27:02.127650+00:00,0.0,0.01,0.02,2158.598891235646,18.27802101943189,-131.6467788033441,10,1
2012-03-11 15:28:02.127650+00:00,32.2,40.0,40.0,1919.6699207679744,17.91565971915734,-132.37150140389315,12,1
2012-03-11 15:29:02.127650+00:00,0.0,0.02,0.02,2158.598891235646,17.925773909311435,-132.35127302358498,14,1
2012-03-11 15:35:02.127650+00:00,32.68,40.0,40.0,2116.997997936028,17.989534346594173,-132.2237521490195,13,2
2012-03-11 15:36:02.127650+00:00,18.4,38.17,40.0,2078.713182586703,17.670741477991847,-132.86133788622416,11,1
2012-03-11 15:37:02.127650+00:00,18.4,38.17,40.0,2097.8555902613657,17.544021770351396,-133.11477730150506,10,1
2012-03-11 15:38:02.127650+00:00,18.14,37.67,40.0,2078.713182586703,17.417302062710945,-133.36821671678595,9,2
2012-03-11 15:39:02.127650+00:00,18.27,37.92,40.0,1850.487925097304,17.294522445411808,-133.61377595138424,8,2
2012-03-11 21:55:02.127650+00:00,5.95,13.06,19.93,1819.8613039580985,12.561629841423528,-143.0795611593608,3,1
2012-03-11 22:03:02.127650+00:00,5.78,12.71,19.39,1819.8613039580985,12.451254563768938,-143.30031171466996,3,1
2012-03-12 01:52:02.127568+00:00,7.99,17.3,26.34,2254.05314322682,13.046260317294044,-142.00177431988982,3,1
2012-03-12 01:56:02.127568+00:00,7.95,17.21,26.2,2428.13139999726,13.181123264566844,-141.7320484253442,4,1
2012-03-12 02:00:02.127568+00:00,7.43,16.16,24.61,2602.2096567677,13.315986211839643,-141.46232253079862,7,1
2012-03-12 02:05:02.127568+00:00,6.35,13.92,21.22,3037.6281768392996,13.640622267022684,-140.81305042043255,8,1
2012-03-12 02:07:02.127568+00:00,6.34,13.88,21.17,3037.6281768392996,13.640622267022684,-140.81305042043255,8,1
2012-03-12 02:08:02.127568+00:00,5.86,12.87,19.64,2769.092899205908,13.412265976114764,-141.26976300224837,9,1
2012-03-12 02:10:02.127568+00:00,5.84,12.84,19.59,2769.092899205908,13.412265976114764,-141.26976300224837,9,1
2012-03-12 02:12:02.127568+00:00,4.97,11.0,16.8,3306.1634544726912,13.892720652554482,-140.30885364936893,9,1
2012-03-12 02:14:02.127568+00:00,4.22,9.38,14.34,3322.5744011837933,13.90530915835209,-140.28367663777374,10,1
2012-03-12 02:17:02.127568+00:00,4.4,9.78,14.95,2769.092899205908,13.412265976114764,-141.26976300224837,9,1
2012-03-12 02:18:02.127568+00:00,4.39,9.75,14.89,2769.092899205908,13.412265976114764,-141.26976300224837,9,1
2012-03-12 02:21:02.127568+00:00,4.01,8.94,13.66,3372.7776008803476,13.90530915835209,-140.28367663777374,8,1
2012-03-12 02:23:02.127568+00:00,3.34,7.47,11.42,3137.433414410314,13.654759030071148,-140.7847768943356,8,1
2012-03-12 02:27:02.127568+00:00,3.24,7.25,11.1,3204.0475608179704,13.935915358601974,-140.22246423727395,6,1
2012-03-12 02:29:02.127568+00:00,3.08,6.9,10.56,3204.0475608179704,13.935915358601974,-140.22246423727395,6,1
2012-03-12 02:33:02.127568+00:00,3.0,6.72,10.28,3698.842632622914,13.995401988661808,-140.10349097715428,6,1
2012-03-12 02:37:02.127568+00:00,2.58,5.8,8.88,3827.30438593507,14.250252025190456,-139.59379090409698,7,1
2012-03-12 02:42:02.127568+00:00,2.05,4.63,7.08,3302.7110179851707,14.177376092294164,-139.73954276988957,10,1
2012-03-12 02:43:02.127568+00:00,1.0,2.27,3.47,3593.2153162635145,14.250252025190456,-139.59379090409698,9,1
2012-03-12 02:45:02.127568+00:00,1.2,2.71,4.15,3593.2153162635145,14.33218375517246,-139.42992744413297,11,1
2012-03-12 02:46:02.127568+00:00,1.1,2.5,3.82,3593.2153162635145,14.33218375517246,-139.42992744413297,11,1
2012-03-12 02:48:02.127568+00:00,0.76,1.72,2.63,3962.200589152368,14.431796131282814,-139.23070269191226,12,1
2012-03-12 02:49:02.127568+00:00,0.76,1.72,2.63,3827.30438593507,14.426153876978637,-139.24198720052064,13,1
2012-03-12 02:50:02.127568+00:00,0.76,1.72,2.63,3827.30438593507,14.426153876978637,-139.24198720052064,13,1
2012-03-12 02:51:02.127568+00:00,0.02,0.06,0.12,3962.200589152368,14.431796131282814,-139.23070269191226,14,1
