time,range_D_MP1,range_MP1_MP2,range_MP2_MP3,auto_max,auto_snr,auto_amp,auto_count,n_calls
2012-03-03 21:02:02.122923+00:00,27.82,40.0,40.0,6303.42035570117,21.201851500336502,-127.3769867660438,27,1
2012-03-03 21:03:02.122923+00:00,27.15,40.0,40.0,7838.746793836052,21.32840731599562,-127.12387513472558,29,3
2012-03-03 21:04:02.122923+00:00,28.12,40.0,40.0,8171.993866019056,21.476699168041492,-126.82729143063384,32,2
2012-03-03 21:05:02.122923+00:00,27.77,40.0,40.0,9660.77025543704,22.104284750812052,-125.57212026509274,35,2
2012-03-03 21:06:02.122923+00:00,14.06,29.51,40.0,10325.213918181042,22.13671682027033,-125.50725612617616,38,3
2012-03-03 21:07:02.122923+00:00,10.33,22.03,33.45,10625.124611116677,22.163270958958265,-125.4541478488003,40,3
2012-03-03 21:08:02.122923+00:00,2.55,5.74,8.78,14269.133116428286,22.36340017873912,-125.05388940923858,44,2
2012-03-03 21:09:02.122923+00:00,2.29,5.16,7.91,16118.770409009212,22.522692143697604,-124.73530547932162,46,2
2012-03-03 21:10:02.122923+00:00,2.24,5.05,7.74,15375.884593965726,22.60312419731536,-124.57444137208611,49,3
2012-03-03 21:11:02.122923+00:00,2.44,5.48,8.39,16118.770409009212,22.83843362272873,-124.10382252125936,52,3
2012-03-03 21:12:02.122923+00:00,2.79,6.27,9.6,17063.596472432066,22.880312440892553,-124.02006488493171,54,3
2012-03-03 21:13:02.122923+00:00,2.85,6.41,9.81,17265.536720811433,22.916653838320308,-123.94738209007622,55,4
2012-03-03 21:14:02.122923+00:00,2.9,6.5,9.95,17354.874094944727,22.96365096233405,-123.85338784204872,55,3
2012-03-03 21:15:02.122923+00:00,2.92,6.55,10.02,17354.874094944727,22.96365096233405,-123.85338784204872,55,3
2012-03-03 21:16:02.122923+00:00,2.9,6.5,9.95,17354.874094944727,22.96365096233405,-123.85338784204872,55,2
2012-03-03 21:17:02.122923+00:00,2.94,6.59,10.09,18438.701895419686,22.98664054554416,-123.80740867562852,53,3
2012-03-03 21:18:02.122923+00:00,2.98,6.68,10.22,17310.20540787808,22.975145753939103,-123.8303982588386,52,3
2012-03-03 21:19:02.122923+00:00,2.98,6.68,10.22,17265.536720811433,22.96365096233405,-123.85338784204872,53,2
2012-03-03 21:20:02.122923+00:00,2.92,6.55,10.02,17310.20540787808,22.975145753939103,-123.8303982588386,52,3
2012-03-03 21:21:02.122923+00:00,2.9,6.5,9.95,19009.33100463145,23.131894031401192,-123.51690170391444,48,3
2012-03-03 21:22:02.122923+00:00,2.94,6.59,10.09,17896.787995182207,23.131894031401192,-123.51690170391444,46,3
2012-03-03 21:23:02.122923+00:00,3.04,6.81,10.42,17310.20540787808,23.17885221085968,-123.42298534499749,44,3
2012-03-03 21:24:02.122923+00:00,3.25,7.28,11.14,15107.204190742705,23.11537708874723,-123.54993558922236,43,2
2012-03-03 21:25:02.122923+00:00,3.59,8.01,12.26,12838.365347897485,23.131894031401192,-123.51690170391444,40,2
2012-03-03 21:26:02.122923+00:00,3.4,7.61,11.65,10403.649046129683,22.877422616213508,-124.0258445342898,38,3
2012-03-03 21:28:02.122923+00:00,3.78,8.44,12.9,6322.650314920664,20.74852268141168,-128.28364440389348,33,3
2012-03-03 21:29:02.122923+00:00,4.36,9.68,14.79,5459.714836237248,19.477464358763157,-130.8257610491905,33,2
2012-03-03 21:32:02.122923+00:00,21.46,40.0,40.0,3342.923983388587,18.690846350929323,-132.39899706485818,27,1
2012-03-03 21:33:02.122923+00:00,22.03,40.0,40.0,3034.436494282054,18.51284531188867,-132.75499914293948,24,2
2012-03-03 21:34:02.122923+00:00,8.53,18.37,27.95,2830.923554549706,18.411998050032416,-132.956693666652,21,1
2012-03-03 21:36:02.122923+00:00,9.6,20.54,31.22,2129.872167712185,18.135787686156,-133.50911439440483,16,2
2012-03-03 21:38:02.122923+00:00,9.56,20.48,31.12,2038.1871188994105,18.135787686156,-133.50911439440483,14,1
2012-03-03 21:39:02.122923+00:00,7.81,16.9,25.73,1886.3001777227096,18.104515968518463,-133.5716578296799,11,1
2012-03-03 21:40:02.122923+00:00,7.79,16.87,25.68,1882.1816587822705,18.135787686156,-133.50911439440483,10,1
2012-03-03 21:42:02.122923+00:00,7.63,16.53,25.17,1908.6753657843856,18.167059403793537,-133.44657095912976,9,1
2012-03-06 10:08:02.126773+00:00,4.89,10.81,16.51,3082.1676055482494,18.492918264476227,-127.33113678132295,16,1
2012-03-06 10:11:02.126773+00:00,3.59,8.01,12.26,4472.805652961962,19.7848045975638,-124.74736411514782,23,1
2012-03-06 10:12:02.126773+00:00,0.73,1.66,2.55,4516.194619902486,20.21090785615741,-123.89515759796058,25,1
2012-03-06 10:13:02.126773+00:00,0.01,0.04,0.02,5006.422380582575,20.586371784725397,-123.1442297408246,28,1
2012-03-06 10:14:02.126773+00:00,0.01,0.04,0.04,5511.7846104341925,20.72196541155344,-122.87304248716852,30,3
2012-03-06 10:15:02.126773+00:00,4.83,10.68,16.31,6710.688766522893,20.870759774408473,-122.57545376145843,33,2
2012-03-06 10:16:02.126773+00:00,5.72,12.57,19.18,7051.697959857509,21.026238816228897,-122.26449567781762,36,2
2012-03-06 10:17:02.126773+00:00,5.57,12.25,18.7,7804.931059658649,21.520768534191543,-121.27543624189232,39,3
2012-03-06 10:18:02.126773+00:00,5.68,12.48,19.04,9328.409449813522,21.66723189245171,-120.982509525372,41,3
2012-03-06 10:19:02.126773+00:00,5.46,12.03,18.36,9778.2012053394,21.74701688533387,-120.82293953960766,44,3
2012-03-06 10:20:02.126773+00:00,5.06,11.18,17.07,10336.122997870069,21.831618683357977,-120.65373594355948,47,2
2012-03-06 10:21:02.126773+00:00,4.57,10.13,15.48,13516.855365948782,22.042836602353542,-120.23130010556832,49,2
2012-03-06 10:22:02.126773+00:00,4.24,9.43,14.42,13815.31541845643,22.043081997562204,-120.230809315151,51,3
2012-03-06 10:23:02.126773+00:00,3.64,8.13,12.43,13887.578191180766,22.450701784790475,-119.41556974069444,53,2
2012-03-06 10:24:02.126773+00:00,5.28,11.64,17.77,15376.936194122,22.94336703455351,-118.43023924116838,53,3
2012-03-06 10:25:02.126773+00:00,5.48,12.06,18.41,15390.890622071822,23.151252015983168,-118.01446927830906,54,2
2012-03-06 10:26:02.126773+00:00,40.0,40.0,40.0,17439.59150311147,23.256210680794872,-117.80455194868568,54,3
2012-03-06 10:27:02.126773+00:00,40.0,40.0,40.0,18429.33277776106,23.435886188027567,-117.44520093422028,54,4
2012-03-06 10:28:02.126773+00:00,40.0,40.0,40.0,18754.007774129223,23.545503600885556,-117.2259661085043,53,3
2012-03-06 10:29:02.126773+00:00,40.0,40.0,40.0,18904.08623068522,23.532511634529612,-117.2519500412162,54,3
2012-03-06 10:30:02.126773+00:00,5.09,11.25,17.17,18904.08623068522,23.589510667618484,-117.13795197503843,52,3
2012-03-06 10:31:02.126773+00:00,5.15,11.38,17.37,18842.658698337655,23.545503600885556,-117.2259661085043,53,2
2012-03-06 10:32:02.126773+00:00,5.09,11.25,17.17,18742.890440973737,23.532511634529612,-117.2519500412162,54,2
2012-03-06 10:33:02.126773+00:00,4.97,10.98,16.77,18731.77310781825,23.545503600885556,-117.2259661085043,53,3
2012-03-06 10:34:02.126773+00:00,4.94,10.91,16.67,18731.77310781825,23.545503600885556,-117.2259661085043,53,3
2012-03-06 10:35:02.126773+00:00,5.26,11.61,17.72,18115.043829127702,23.485695415127733,-117.34558248001994,52,2
2012-03-06 10:36:02.126773+00:00,0.73,1.66,2.55,18115.043829127702,23.485695415127733,-117.34558248001994,50,3
2012-03-06 10:37:02.126773+00:00,0.58,1.31,2.01,18731.77310781825,23.51951966817367,-117.27793397392809,47,3
2012-03-06 10:38:02.126773+00:00,0.92,2.08,3.19,18126.892447703867,23.451871162081797,-117.41323098611184,45,3
2012-03-06 10:39:02.126773+00:00,0.66,1.5,2.3,18429.33277776106,23.485695415127733,-117.34558248001994,42,1
2012-03-06 10:40:02.126773+00:00,1.25,2.84,4.34,15808.809389232672,23.31813829465372,-117.68069672096796,40,3
2012-03-06 10:41:02.126773+00:00,0.01,0.04,0.02,14367.173886230845,23.200188895826443,-117.91659551862251,38,3
2012-03-06 10:42:02.126773+00:00,5.58,12.29,18.75,12796.470322737889,23.00357736393961,-118.3098185823962,37,2
2012-03-06 10:43:02.126773+00:00,5.68,12.48,19.04,10898.280872272617,22.315407672241832,-119.68615796579176,36,2
2012-03-06 10:44:02.126773+00:00,0.58,1.31,2.01,6059.933121119064,22.06973236190298,-120.17750858646946,33,2
2012-03-06 10:45:02.126773+00:00,1.98,4.47,6.84,4974.5243292825435,21.236459887791984,-121.84405353469144,33,2
2012-03-06 10:48:02.126773+00:00,7.54,16.35,24.89,3036.3905085378324,19.872037365282253,-124.57289857971092,28,1
2012-03-06 10:49:02.126773+00:00,1.52,3.43,5.26,2687.851651340971,19.02927946101232,-126.25841438825076,27,1
2012-03-06 10:50:02.126773+00:00,11.83,25.04,37.98,2656.316820555958,18.128547233734203,-128.059878842807,27,1
2012-03-06 10:51:02.126773+00:00,1.37,3.1,4.76,2437.1500292753153,17.904179411769675,-128.50861448673606,26,1
2012-03-06 10:52:02.126773+00:00,4.28,9.5,14.52,2390.0200381440704,17.87861443740425,-128.5597444354669,25,1
2012-03-06 10:53:02.126773+00:00,9.04,19.42,29.52,2166.410035473174,17.85135670138934,-128.61425990749672,26,1
2012-03-06 10:54:02.126773+00:00,8.1,17.49,26.62,2181.483244262521,17.85135670138934,-128.61425990749672,26,1
2012-03-06 10:55:02.126773+00:00,7.64,16.56,25.22,2059.85532528262,17.85135670138934,-128.61425990749672,26,1
2012-03-06 10:57:02.126773+00:00,7.84,16.97,25.82,2074.928534071967,17.87861443740425,-128.5597444354669,29,2
2012-03-06 10:58:02.126773+00:00,7.81,16.9,25.73,2181.483244262521,17.903586169717865,-128.50980097083968,30,2
2012-03-06 10:59:02.126773+00:00,7.9,17.09,26.01,2288.037954453075,18.02620570117389,-128.26456190792763,33,2
2012-03-06 11:00:02.126773+00:00,7.88,17.06,25.97,2461.6872095087415,18.128547233734203,-128.059878842807,35,1
2012-03-06 11:01:02.126773+00:00,7.82,16.93,25.78,2461.6872095087415,18.222252539474976,-127.87246823132546,35,2
2012-03-06 11:02:02.126773+00:00,7.81,16.9,25.73,2250.649628671968,18.175399886604588,-127.96617353706624,36,2
2012-03-06 11:03:02.126773+00:00,7.9,17.09,26.01,2484.725202562986,18.42674344726821,-127.463486415739,36,3
2012-03-06 11:04:02.126773+00:00,7.64,16.56,25.22,2521.9236202961374,18.541298769162484,-127.23437577195044,38,3
2012-03-06 11:05:02.126773+00:00,7.61,16.5,25.12,2536.084044975045,18.604269459309332,-127.10843439165674,37,2
2012-03-06 11:06:02.126773+00:00,7.63,16.53,25.17,2536.084044975045,18.604269459309332,-127.10843439165674,37,1
2012-03-06 11:07:02.126773+00:00,7.6,16.47,25.08,2596.2004327655013,18.622200010544276,-127.07257328918686,36,2
2012-03-06 11:08:02.126773+00:00,7.57,16.41,24.98,2596.2004327655013,18.695248902933535,-126.92647550440834,34,2
2012-03-06 11:09:02.126773+00:00,7.58,16.44,25.03,2536.084044975045,18.75036724408785,-126.8162388220997,33,3
2012-03-06 11:10:02.126773+00:00,7.49,16.25,24.75,2662.002529864794,18.76484921559404,-126.78727487908732,32,2
2012-03-06 11:11:02.126773+00:00,7.7,16.69,25.4,2536.084044975045,18.779331187100222,-126.75831093607496,31,2
2012-03-06 11:12:02.126773+00:00,7.7,16.69,25.4,2536.084044975045,18.822391088571468,-126.67219113313249,29,2
2012-03-06 11:13:02.126773+00:00,7.49,16.25,24.75,2536.084044975045,18.839274818094157,-126.63842367408712,27,2
2012-03-06 11:14:02.126773+00:00,7.51,16.28,24.8,2521.9236202961374,18.830832953332813,-126.6553074036098,26,2
2012-03-06 11:18:02.126773+00:00,0.01,0.01,0.02,2484.725202562986,18.83116688569139,-126.65463953889264,18,1
2012-03-06 11:20:02.126773+00:00,5.4,11.9,18.16,2628.4713198652353,18.19056128979457,-127.93585073068628,12,1
