duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,db_amps,station_code,network_code
1.4,1330807919.4,2012-03-03T20:51:59.400000Z,1070.044402047433,2140.088804094866,1330807918.88,2012-03-03T20:51:58.880000Z,1330807918.0,2012-03-03T20:51:58.000000Z,17.539001357198174,12.612366400496288,9.278625551875857,,,,,,1500,-134.70268705232047,B18,XF
1.48,1330807946.16,2012-03-03T20:52:26.160000Z,1088.4981637579701,2176.9963275159403,1330807945.4,2012-03-03T20:52:25.400000Z,1330807944.68,2012-03-03T20:52:24.680000Z,18.22405338569692,12.810501194952693,9.38015316324176,,,,,,1500,-133.33258299532298,B18,XF
1.4,1330808537.92,2012-03-03T21:02:17.920000Z,998.5869098450751,1997.1738196901501,1330808537.28,2012-03-03T21:02:17.280000Z,1330808536.52,2012-03-03T21:02:16.520000Z,16.02225424151758,11.592946865394413,10.364444354664887,,,,,,1500,-137.73618128368167,B18,XF
3.12,1330808575.96,2012-03-03T21:02:55.960000Z,871.8241779160325,1743.648355832065,1330808575.36,2012-03-03T21:02:55.360000Z,1330808572.84,2012-03-03T21:02:52.840000Z,17.514674664328346,12.639801378501296,12.178798125062825,,,,,,1500,-134.75134043806014,B18,XF
2.08,1330808594.16,2012-03-03T21:03:14.160000Z,775.5829490336703,1551.1658980673405,1330808593.44,2012-03-03T21:03:13.440000Z,1330808592.08,2012-03-03T21:03:12.080000Z,17.006365400442633,12.766903862878538,11.504596706951416,,,,,,1500,-135.76795896583155,B18,XF
0.92,1330808612.12,2012-03-03T21:03:32.120000Z,989.6186431128141,1979.2372862256282,1330808611.68,2012-03-03T21:03:31.680000Z,1330808611.2,2012-03-03T21:03:31.200000Z,18.237174519130196,13.338864572703162,11.848469682354846,,,,,,1500,-133.30634072845643,B18,XF
0.64,1330808637.72,2012-03-03T21:03:57.720000Z,1396.6728562477826,2793.3457124955653,1330808637.4,2012-03-03T21:03:57.400000Z,1330808637.08,2012-03-03T21:03:57.080000Z,18.507006707418434,13.633505956673947,11.615093076634635,,,,,,1500,-132.76667635187997,B18,XF
1.04,1330808665.04,2012-03-03T21:04:25.040000Z,1952.2875650623312,3904.5751301246623,1330808664.6,2012-03-03T21:04:24.600000Z,1330808664.0,2012-03-03T21:04:24.000000Z,20.41574939091719,14.106616672652702,11.762799089386247,,,,,,1500,-128.94919098488245,B18,XF
2.64,1330808683.6,2012-03-03T21:04:43.600000Z,1093.562715829505,2187.12543165901,1330808682.56,2012-03-03T21:04:42.560000Z,1330808680.96,2012-03-03T21:04:40.960000Z,19.928185659339704,14.899559798454362,12.413238164910465,,,,,,1500,-129.9243184480374,B18,XF
1.28,1330808709.84,2012-03-03T21:05:09.840000Z,1740.6726127720592,3481.3452255441184,1330808709.12,2012-03-03T21:05:09.120000Z,1330808708.56,2012-03-03T21:05:08.560000Z,20.06777387716489,15.468714645179581,11.735471256585612,,,,,,1500,-129.64514201238705,B18,XF
1.12,1330808742.76,2012-03-03T21:05:42.760000Z,4028.687666072944,8057.375332145888,1330808742.2,2012-03-03T21:05:42.200000Z,1330808741.64,2012-03-03T21:05:41.640000Z,20.32492153728559,16.109195683044547,12.776617692455751,,,,,,1500,-129.13084669214564,B18,XF
1.88,1330808760.52,2012-03-03T21:06:00.520000Z,2749.334923899258,5498.669847798516,1330808759.72,2012-03-03T21:05:59.720000Z,1330808758.64,2012-03-03T21:05:58.640000Z,20.64304465717693,16.08056877886652,13.37490980578237,,,,,,1500,-128.49460045236296,B18,XF
0.88,1330808779.08,2012-03-03T21:06:19.080000Z,3919.373396918026,7838.746793836052,1330808778.8,2012-03-03T21:06:18.800000Z,1330808778.2,2012-03-03T21:06:18.200000Z,22.104284750812052,17.1963957757134,12.843080881267143,,,,,,1500,-125.57212026509274,B18,XF
1.84,1330808798.68,2012-03-03T21:06:38.680000Z,2707.0391780527557,5414.078356105511,1330808797.88,2012-03-03T21:06:37.880000Z,1330808796.84,2012-03-03T21:06:36.840000Z,21.32840731599562,16.839671712685785,13.524335108896782,,,,,,1500,-127.12387513472558,B18,XF
1.2,1330808820.84,2012-03-03T21:07:00.840000Z,5062.181132073647,10124.362264147294,1330808820.32,2012-03-03T21:07:00.320000Z,1330808819.64,2012-03-03T21:06:59.640000Z,22.149044484699306,17.44628109610372,13.518129244593592,,,,,,1500,-125.48260079731821,B18,XF
1.48,1330808839.76,2012-03-03T21:07:19.760000Z,10093.980653997904,20187.961307995807,1330808838.88,2012-03-03T21:07:18.880000Z,1330808838.28,2012-03-03T21:07:18.280000Z,22.244935419776933,17.435737646390614,14.184761338577898,,,,,,1500,-125.29081892716295,B18,XF
1.2,1330808869.6,2012-03-03T21:07:49.600000Z,12676.75052247612,25353.50104495224,1330808869.0,2012-03-03T21:07:49.000000Z,1330808868.4,2012-03-03T21:07:48.400000Z,23.518593439181473,18.0982941674241,12.500623439239629,,,,,,1500,-122.74350288835387,B18,XF
1.04,1330808901.28,2012-03-03T21:08:21.280000Z,3151.710177850585,6303.42035570117,1330808900.88,2012-03-03T21:08:20.880000Z,1330808900.24,2012-03-03T21:08:20.240000Z,21.347148535627486,16.41220265388598,13.482281329463088,,,,,,1500,-127.08639269546185,B18,XF
1.6,1330808931.12,2012-03-03T21:08:51.120000Z,4143.306199946112,8286.612399892225,1330808930.24,2012-03-03T21:08:50.240000Z,1330808929.52,2012-03-03T21:08:49.520000Z,21.606249800455494,16.65845565935786,15.367435452236784,,,,,,1500,-126.56819016580583,B18,XF
0.96,1330808954.92,2012-03-03T21:09:14.920000Z,1537.4299968987561,3074.8599937975123,1330808954.32,2012-03-03T21:09:14.320000Z,1330808953.96,2012-03-03T21:09:13.960000Z,20.85045209325108,16.575335917059807,15.919039061208721,,,,,,1500,-128.07978558021466,B18,XF
1.12,1330808977.56,2012-03-03T21:09:37.560000Z,4830.3851277185195,9660.770255437039,1330808977.04,2012-03-03T21:09:37.040000Z,1330808976.44,2012-03-03T21:09:36.440000Z,20.691359703838337,16.16532462585637,15.329576730189817,,,,,,1500,-128.39797035904016,B18,XF
2.04,1330809005.48,2012-03-03T21:10:05.480000Z,5362.091825009279,10724.183650018558,1330809004.6,2012-03-03T21:10:04.600000Z,1330809003.44,2012-03-03T21:10:03.440000Z,21.201851500336506,16.846048515767244,14.624817440346632,,,,,,1500,-127.37698676604381,B18,XF
1.48,1330809021.92,2012-03-03T21:10:21.920000Z,7687.942296982863,15375.884593965726,1330809021.12,2012-03-03T21:10:21.120000Z,1330809020.44,2012-03-03T21:10:20.440000Z,21.202785651547913,17.646125646023165,14.109432997157453,,,,,,1500,-127.37511846362099,B18,XF
1.0,1330809040.48,2012-03-03T21:10:40.480000Z,6489.866448989261,6416.639251426694,1330809040.12,2012-03-03T21:10:40.120000Z,1330809039.48,2012-03-03T21:10:39.480000Z,22.896785313609907,17.538391760055262,14.65933618781322,,,,,,1500,-123.987119139497,B18,XF
1.12,1330809057.96,2012-03-03T21:10:57.960000Z,8430.82811202635,16861.6562240527,1330809057.52,2012-03-03T21:10:57.520000Z,1330809056.84,2012-03-03T21:10:56.840000Z,22.60312419731536,18.43279562374881,14.981967815244026,,,,,,1500,-124.57444137208611,B18,XF
1.24,1330809080.28,2012-03-03T21:11:20.280000Z,13871.563330087865,27743.12666017573,1330809079.76,2012-03-03T21:11:19.760000Z,1330809079.04,2012-03-03T21:11:19.040000Z,24.176792549459016,18.922856992498293,14.982163716018164,,,,,,1500,-121.4271046677988,B18,XF
1.12,1330809098.24,2012-03-03T21:11:38.240000Z,3634.04843766559,6093.964532848972,1330809097.52,2012-03-03T21:11:37.520000Z,1330809097.12,2012-03-03T21:11:37.120000Z,22.48186493770131,18.672165777708575,14.528945416255512,,,,,,1500,-124.81695989131421,B18,XF
