duration,end_epoch,end_time,min_signal,peak_signal,peak_epoch,peak_time,start_epoch,start_time,snr,ambient_snr,peak_frequency,start_frequency,end_frequency,peak_frequency_std,start_frequency_std,end_frequency_std,threshold,db_amps,station_code,network_code
0.88,1330570040.72,2012-03-01T02:47:20.720000Z,1119.9430331384892,2239.8860662769785,1330570040.12,2012-03-01T02:47:20.120000Z,1330570039.84,2012-03-01T02:47:19.840000Z,19.799423377961734,15.565656794648122,26.376600616890965,,,,,,1500,-132.71149717252035,B20,XF
0.92,1330570069.36,2012-03-01T02:47:49.360000Z,1646.2827557794008,3292.5655115588015,1330570068.96,2012-03-01T02:47:48.960000Z,1330570068.44,2012-03-01T02:47:48.440000Z,20.176686213964853,15.424376671193581,26.961696090641972,,,,,,1500,-131.95697150051413,B20,XF
0.36,1330589749.88,2012-03-01T08:15:49.880000Z,842.1862863033791,1684.3725726067582,1330589749.72,2012-03-01T08:15:49.720000Z,1330589749.52,2012-03-01T08:15:49.520000Z,18.99534206184686,1.5432069197646223,5.050147644711192,,,,,,1500,-134.3196598047501,B20,XF
0.2,1330590488.4,2012-03-01T08:28:08.400000Z,945.5299308759369,1891.0598617518738,1330590488.32,2012-03-01T08:28:08.320000Z,1330590488.2,2012-03-01T08:28:08.200000Z,20.763249083278215,0.9705551875879623,3.7680175243495917,,,,,,1500,-130.7838457618874,B20,XF
0.36,1330590506.32,2012-03-01T08:28:26.320000Z,1509.0597726855112,3018.1195453710225,1330590506.16,2012-03-01T08:28:26.160000Z,1330590505.96,2012-03-01T08:28:25.960000Z,20.24558434297316,1.8700369799432597,3.7557205667856675,,,,,,1500,-131.8191752424975,B20,XF
0.24,1330596295.92,2012-03-01T10:04:55.920000Z,1009.0276255266942,2018.0552510533885,1330596295.84,2012-03-01T10:04:55.840000Z,1330596295.68,2012-03-01T10:04:55.680000Z,20.556224403278488,2.4030461408064068,5.121509684289621,,,,,,1500,-131.19789512188686,B20,XF
0.32,1330597029.2,2012-03-01T10:17:09.200000Z,1180.2948323436012,2360.5896646872025,1330597029.04,2012-03-01T10:17:09.040000Z,1330597028.88,2012-03-01T10:17:08.880000Z,20.77500466545856,1.5130807338922334,4.711106916009443,,,,,,1500,-130.7603345975267,B20,XF
0.92,1330628501.68,2012-03-01T19:01:41.680000Z,882.7278300208646,1765.4556600417293,1330628501.36,2012-03-01T19:01:41.360000Z,1330628500.76,2012-03-01T19:01:40.760000Z,19.078618997037697,14.417995707189007,17.02402489822326,,,,,,1500,-134.94497879276005,B20,XF
0.68,1330628518.6,2012-03-01T19:01:58.600000Z,1530.6561704365267,3061.3123408730535,1330628518.2,2012-03-01T19:01:58.200000Z,1330628517.92,2012-03-01T19:01:57.920000Z,20.298718987577658,14.330149667317345,22.236103744020234,,,,,,1500,-132.50477881168013,B20,XF
1.28,1330628536.16,2012-03-01T19:02:16.160000Z,859.0598793783261,1718.1197587566521,1330628535.48,2012-03-01T19:02:15.480000Z,1330628534.88,2012-03-01T19:02:14.880000Z,19.00330947028069,13.313847392901366,22.20052958585276,,,,,,1500,-135.09559784627407,B20,XF
0.68,1330657755.8,2012-03-02T03:09:15.800000Z,988.3077010217959,1976.6154020435918,1330657755.52,2012-03-02T03:09:15.520000Z,1330657755.12,2012-03-02T03:09:15.120000Z,19.747323945666704,14.798533128891577,29.84548474802047,,,,,,1500,-132.3332405211079,B20,XF
1.8,1330721119.72,2012-03-02T20:45:19.720000Z,860.893116712269,1721.786233424538,1330721119.04,2012-03-02T20:45:19.040000Z,1330721117.92,2012-03-02T20:45:17.920000Z,19.066753775841644,14.007876002532711,21.589702070519575,,,,,,1500,-135.52013070291483,B20,XF
1.16,1330768441.72,2012-03-03T09:54:01.720000Z,4850.539737181828,9701.079474363656,1330768441.04,2012-03-03T09:54:01.040000Z,1330768440.56,2012-03-03T09:54:00.560000Z,24.191378869801504,2.446077440130386,19.90505475429618,,,,,,1500,-123.93944796862891,B20,XF
1.36,1330837390.8,2012-03-04T05:03:10.800000Z,2950.277207248149,5900.554414496298,1330837389.68,2012-03-04T05:03:09.680000Z,1330837389.44,2012-03-04T05:03:09.440000Z,22.3927827367308,16.956318551980985,31.871307689752967,,,,,,1500,-127.5317100617781,B20,XF
0.88,1330837407.68,2012-03-04T05:03:27.680000Z,2649.046358723401,5298.092717446802,1330837407.24,2012-03-04T05:03:27.240000Z,1330837406.8,2012-03-04T05:03:26.800000Z,20.91690205837557,16.49617955928122,26.50398627780544,,,,,,1500,-130.48347141848856,B20,XF
1.12,1330837430.76,2012-03-04T05:03:50.760000Z,5513.373685975505,11026.74737195101,1330837430.2,2012-03-04T05:03:50.200000Z,1330837429.64,2012-03-04T05:03:49.640000Z,22.474467189933325,17.73724403295713,28.57462757477073,,,,,,1500,-127.36834115537306,B20,XF
1.12,1330837451.16,2012-03-04T05:04:11.160000Z,1371.3993117692942,2742.7986235385883,1330837450.48,2012-03-04T05:04:10.480000Z,1330837450.04,2012-03-04T05:04:10.040000Z,19.74057207073364,14.92924354374921,26.603571653978463,,,,,,1500,-132.83613139377243,B20,XF
0.4,1330866182.96,2012-03-04T13:03:02.960000Z,6768.73417038136,13537.46834076272,1330866182.8,2012-03-04T13:03:02.800000Z,1330866182.56,2012-03-04T13:03:02.560000Z,23.444453188398292,-2.0165385680768564,35.193122045684994,,,,,,1500,-119.10364295999179,B20,XF
2.72,1330878515.92,2012-03-04T16:28:35.920000Z,838.838562401742,1677.677124803484,1330878514.32,2012-03-04T16:28:34.320000Z,1330878513.2,2012-03-04T16:28:33.200000Z,15.221812567790751,11.274435715400209,9.020713122363595,,,,,,1500,-135.5489242012069,B20,XF
1.6,1330878616.92,2012-03-04T16:30:16.920000Z,2156.275656273724,4312.551312547448,1330878616.24,2012-03-04T16:30:16.240000Z,1330878615.32,2012-03-04T16:30:15.320000Z,17.722345431211938,12.740967458009791,8.470101840113418,,,,,,1500,-130.5478584743645,B20,XF
2.2,1330878678.28,2012-03-04T16:31:18.280000Z,1036.6895199993264,2073.379039998653,1330878677.72,2012-03-04T16:31:17.720000Z,1330878676.08,2012-03-04T16:31:16.080000Z,15.750824240442201,10.701687015348071,7.554725942694315,,,,,,1500,-134.49090085590396,B20,XF
1.12,1330878823.52,2012-03-04T16:33:43.520000Z,1743.0855401848746,3486.1710803697492,1330878822.96,2012-03-04T16:33:42.960000Z,1330878822.4,2012-03-04T16:33:42.400000Z,17.141951504139424,9.973105057614143,11.24387859906873,,,,,,1500,-131.70864632850953,B20,XF
1.44,1330878911.16,2012-03-04T16:35:11.160000Z,817.2491079531255,1634.498215906251,1330878910.6,2012-03-04T16:35:10.600000Z,1330878909.72,2012-03-04T16:35:09.720000Z,15.38341362459732,10.661787045315593,8.055042001676837,,,,,,1500,-135.22572208759374,B20,XF
1.44,1330878943.64,2012-03-04T16:35:43.640000Z,983.5671536322725,1967.134307264545,1330878942.88,2012-03-04T16:35:42.880000Z,1330878942.2,2012-03-04T16:35:42.200000Z,15.064398091411167,10.457021546029704,8.491713926898527,,,,,,1500,-135.86375315396603,B20,XF
1.2,1330878986.52,2012-03-04T16:36:26.520000Z,1393.465351174157,2786.930702348314,1330878985.84,2012-03-04T16:36:25.840000Z,1330878985.32,2012-03-04T16:36:25.320000Z,16.56593320589789,11.063515553860217,9.27576417232828,,,,,,1500,-132.8606829249926,B20,XF
1.88,1330879299.48,2012-03-04T16:41:39.480000Z,1129.4504574955893,2258.9009149911785,1330879298.48,2012-03-04T16:41:38.480000Z,1330879297.6,2012-03-04T16:41:37.600000Z,14.51091007388807,10.941864052136616,8.561488867950235,,,,,,1500,-136.97072918901222,B20,XF
0.84,1330980247.4,2012-03-05T20:44:07.400000Z,935.7765746138724,1871.5531492277448,1330980246.96,2012-03-05T20:44:06.960000Z,1330980246.56,2012-03-05T20:44:06.560000Z,17.8370673496474,12.532791005059083,12.66238530727514,,,,,,1500,-129.66162992343882,B20,XF
0.96,1330980278.32,2012-03-05T20:44:38.320000Z,784.0771122830928,1568.1542245661856,1330980277.92,2012-03-05T20:44:37.920000Z,1330980277.36,2012-03-05T20:44:37.360000Z,17.341246097038795,10.554003738287275,11.846616428940598,,,,,,1500,-130.65327242865604,B20,XF
